127.0.0.1 - - [19/Aug/2025 01:57:11] "GET / HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 01:59:52] "GET / HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:00:45] "GET / HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:08] "GET /index_simple.html HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:08] "GET /index.json HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:08] "GET /favicon.ico HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:43] "GET / HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:43] "GET /favicon.ico HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:02:43] "GET /index.json HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:09:22] "GET / HTTP/1.1" 200 -
10.12.215.16 - - [19/Aug/2025 02:09:22] "GET /index.json HTTP/1.1" 200 -
